catagory,sub-catagory,name,marked_price,discounted_price,img_link,src
Home,"
ONEPLUS MOBILES ",OnePlus 8T 5G (Lunar Silver And Aquamarine Green),"₨ 78,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/oneplus-8T.jpg,https://meroshoping.com/product-category/smartphones/
Home,"
XIAOMI MOBILES ",Redmi Note 11 SD 680 Processor 50 MP,"₨ 24,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/redmi-note11.jpg,https://meroshoping.com/product-category/smartphones/
Home,"
SAMSUNG MOBILES ",Samsung Galaxy A72 (8GB/128GB),"₨ 51,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/samsung-a72.jpg,https://meroshoping.com/product-category/smartphones/
Home,"
SAMSUNG MOBILES ",Samsung S21 Ultra /16GB /512 GB / Snapdragon 888,"₨ 227,999.00","₨ 214,999.00",https://meroshoping.com/wp-content/uploads/2022/02/s21-ultra.jpg,https://meroshoping.com/product-category/smartphones/
Smartphones,"
SAMSUNG MOBILES ",Samsung Galaxy A72 (8GB/128GB),"₨ 51,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/samsung-a72.jpg,https://meroshoping.com/product-category/smartphones/samsung-mobiles/
Smartphones,"
SAMSUNG MOBILES ",Samsung S21 Ultra /16GB /512 GB / Snapdragon 888,"₨ 227,999.00","₨ 214,999.00",https://meroshoping.com/wp-content/uploads/2022/02/s21-ultra.jpg,https://meroshoping.com/product-category/smartphones/samsung-mobiles/
Smartphones,"
XIAOMI MOBILES ",Redmi Note 11 SD 680 Processor 50 MP,"₨ 24,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/redmi-note11.jpg,https://meroshoping.com/product-category/smartphones/xiaomi-mobiles/
Smartphones,"
ONEPLUS MOBILES ",OnePlus 8T 5G (Lunar Silver And Aquamarine Green),"₨ 78,999.00",,https://meroshoping.com/wp-content/uploads/2022/02/oneplus-8T.jpg,https://meroshoping.com/product-category/smartphones/oneplus-mobiles/
Home,"
Accessories ",Digital MP3 Music Player,₨ 550.00,₨ 450.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_153021.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
CABLES & CONVERTERS ",Dikon 2in1 USB Charger,₨ 325.00,₨ 250.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_161846.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
EARPHONES ",Dikon Earphone,₨ 300.00,₨ 200.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_162018.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
Accessories ",Finger Gloves,₨ 150.00,₨ 75.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_162213.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
Accessories ",Finger Gloves,₨ 150.00,₨ 50.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220217_151508.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
Accessories ",Finger Slips,₨ 100.00,₨ 75.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_162143.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
CABLES & CONVERTERS ",FOCUS F-69 30W CHARGER,,,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_153859.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
Accessories ",Gaming Gloves,₨ 150.00,,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_162238.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
Wireless Headphone ",Gaming Headphone GM-001,"₨ 2,000.00","₨ 1,750.00",https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_152942.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
EARPHONES ",GH A7 Earphone,₨ 300.00,₨ 225.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_162400.jpg,https://meroshoping.com/product-category/mobile-accessories/
Home,"
EARPHONES ",Iphone Earphone,₨ 400.00,₨ 300.00,https://meroshoping.com/wp-content/uploads/2022/02/IMG_20220203_153114.jpg,https://meroshoping.com/product-category/mobile-accessories/
